"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT08","WT10"
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-01","5.14"," 1129"," 1125","0.63","45","54","36","    0","  130","  140","17.0","21.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-02","4.70"," 0354"," 0555","0.06","49","55","43","    0","  130","  130","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-03","6.93"," 2031"," 1416","0.01","47","55","39","    0","  170","  190","14.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-04","1.12"," 0058"," 1113","0.00","49","54","44","    0","  120","  240","8.1","13.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-05","3.80"," 1913"," 0519","0.26","49","54","43","    0","  140","  210","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-06","7.38"," 1928"," 2218","0.78","51","59","42","    0","  170","  180","21.0","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-07","11.18"," 1347"," 1345","1.23","59","63","55","    0","  170","  170","21.0","28.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-08","9.17"," 0842"," 0914","0.16","52","55","49","    0","  180","  170","17.9","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-09","1.79"," 0029"," 1446","0.00","48","53","43","    0","  200","  270","12.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-10","3.80"," 1037"," 0545","0.01","46","50","41","    0","  160","  190","13.0","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-11","2.46"," 2122"," 2321","0.07","51","55","47","    0","  140","  260","12.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-12","10.74"," 0633"," 0452","0.23","48","54","41","    0","  170","  180","21.0","29.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-13","2.91"," 2354"," 1137","0.00","41","46","36","    0","  150","  220","10.1","10.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-14","3.58"," 1410"," 1409","0.05","41","46","35","    0","  340","  330","13.0","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-15","2.91"," 2359"," 2110","0.00","41","44","37","    0","  140","  280","8.9","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-16","6.71"," 0705"," 1234","0.02","39","43","34","    0","  150","  200","15.0","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-17","3.13"," 1733"," 1732","0.00","42","44","39","    0","  190","  230","8.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-18","6.93"," 2200"," 1851","0.23","41","45","37","    0","  170","  190","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-19","6.93"," 2304"," 1852","0.20","43","46","39","    0","  180","  220","17.0","23.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-20","16.11"," 0754"," 0754","0.05","45","49","41","    0","  170","  170","25.1","34.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-21","10.74"," 0249"," 0427","0.00","40","43","36","    0","  190","  190","21.0","25.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-22","9.40"," 0907"," 0907","0.00","41","45","36","    0","  190","  180","15.0","23.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-23","13.87"," 1947"," 1911","0.01","42","47","37","    0","  190","  180","23.9","36.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-24","15.66"," 1718"," 1849","0.99","46","47","44",,"  170","  110","23.9","36.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-25","10.96"," 1036"," 0510","0.76","41","46","35","    0","  170","   20","17.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-26","10.07"," 1614"," 1614","0.08","37","41","33","    0","  170","  170","21.0","23.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-27","4.92"," 1450"," 1316","0.16","34","38","29","    0","  170","  180","12.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-28","4.70"," 1616"," 1613","0.00","35","39","31","    0","   30","   10","10.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-29","6.49"," 2222"," 1733","0.11","34","38","29","    0","  140","  200","10.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-30","9.40"," 1810"," 1810","0.02","39","44","34","    0","  170","  170","17.0","21.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-01-31","7.38"," 0314"," 0424","0.18","42","43","40","    0","  190","  200","19.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-01","8.05"," 1132"," 1241","0.00","44","48","39","    0","  170","  210","16.1","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-02","5.37"," 1456"," 2213","0.01","43","54","32","    0","  140","  130","14.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-03","8.72"," 1215"," 1055","0.06","43","50","36","    0","  190","  190","19.9","25.1",,,,,,
