mission,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,DATE,AWND_x,PRCP_x,TAVG_x,TMAX_x,TMIN_x,TSUN,WT01,WT02,WT03,WT05,WT08,WT10,AWND_y,PRCP_y,SNWD,TAVG_y,TMAX_y,TMIN_y,TOBS,WESD
1,2002,1,1,1,1,1,False,True,False,True,False,True,1009843200,2002-01-01,5.14,0.63,45.0,54.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,34.0,30.0,33.0,11.6
0,2002,1,1,2,2,2,False,False,False,False,False,False,1009929600,2002-01-02,4.7,0.06,49.0,55.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,33.0,35.0,30.0,30.0,11.0
1,2002,1,1,3,3,3,False,False,False,False,False,False,1010016000,2002-01-03,6.93,0.01,47.0,55.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,33.0,36.0,30.0,34.0,11.2
0,2002,1,1,4,4,4,False,False,False,False,False,False,1010102400,2002-01-04,1.12,0.0,49.0,54.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,33.0,36.0,31.0,32.0,11.2
1,2002,1,1,5,5,5,False,False,False,False,False,False,1010188800,2002-01-05,3.8,0.26,49.0,54.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,33.0,35.0,32.0,33.0,11.5
1,2002,1,1,6,6,6,False,False,False,False,False,False,1010275200,2002-01-06,7.38,0.78,51.0,59.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,35.0,42.0,31.0,42.0,12.0
0,2002,1,2,7,0,7,False,False,False,False,False,False,1010361600,2002-01-07,11.18,1.23,59.0,63.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,41.0,44.0,38.0,40.0,11.3
0,2002,1,2,8,1,8,False,False,False,False,False,False,1010448000,2002-01-08,9.17,0.16,52.0,55.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,38.0,40.0,35.0,36.0,10.4
0,2002,1,2,9,2,9,False,False,False,False,False,False,1010534400,2002-01-09,1.79,0.0,48.0,53.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,35.0,39.0,33.0,33.0,10.1
0,2002,1,2,10,3,10,False,False,False,False,False,False,1010620800,2002-01-10,3.8,0.01,46.0,50.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,33.0,37.0,10.0
0,2002,1,2,11,4,11,False,False,False,False,False,False,1010707200,2002-01-11,2.46,0.07,51.0,55.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,40.0,35.0,35.0,9.9
1,2002,1,2,12,5,12,False,False,False,False,False,False,1010793600,2002-01-12,10.74,0.23,48.0,54.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,35.0,30.0,30.0,10.1
1,2002,1,2,13,6,13,False,False,False,False,False,False,1010880000,2002-01-13,2.91,0.0,41.0,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,27.0,27.0,10.2
0,2002,1,3,14,0,14,False,False,False,False,False,False,1010966400,2002-01-14,3.58,0.05,41.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,24.0,27.0,10.2
0,2002,1,3,15,1,15,False,False,False,False,False,False,1011052800,2002-01-15,2.91,0.0,41.0,44.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,31.0,22.0,26.0,10.2
0,2002,1,3,16,2,16,False,False,False,False,False,False,1011139200,2002-01-16,6.71,0.02,39.0,43.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,27.0,29.0,26.0,26.0,10.5
1,2002,1,3,17,3,17,False,False,False,False,False,False,1011225600,2002-01-17,3.13,0.0,42.0,44.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,31.0,25.0,26.0,10.5
0,2002,1,3,18,4,18,False,False,False,False,False,False,1011312000,2002-01-18,6.93,0.23,41.0,45.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,29.0,32.0,24.0,31.0,11.2
0,2002,1,3,19,5,19,False,False,False,False,False,False,1011398400,2002-01-19,6.93,0.2,43.0,46.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,32.0,29.0,30.0,12.1
1,2002,1,3,20,6,20,False,False,False,False,False,False,1011484800,2002-01-20,16.11,0.05,45.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,31.0,32.0,29.0,29.0,13.3
0,2002,1,4,21,0,21,False,False,False,False,False,False,1011571200,2002-01-21,10.74,0.0,40.0,43.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,27.0,31.0,25.0,25.0,13.8
0,2002,1,4,22,1,22,False,False,False,False,False,False,1011657600,2002-01-22,9.4,0.0,41.0,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,27.0,29.0,25.0,26.0,14.5
1,2002,1,4,23,2,23,False,False,False,False,False,False,1011744000,2002-01-23,13.87,0.01,42.0,47.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,29.0,33.0,26.0,33.0,15.0
