"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-01",,"0.00",,"32","34","30","33","11.6"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-02",,"0.40",,"33","35","30","30","11.0"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-03",,"0.20",,"33","36","30","34","11.2"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-04",,"0.10",,"33","36","31","32","11.2"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-05",,"0.20",,"33","35","32","33","11.5"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-06",,"1.90",,"35","42","31","42","12.0"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-07",,"2.60",,"41","44","38","40","11.3"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-08",,"0.90",,"38","40","35","36","10.4"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-09",,"0.10",,"35","39","33","33","10.1"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-10",,"0.00",,"35","38","33","37","10.0"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-11",,"0.00",,"36","40","35","35","9.9"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-12",,"1.00",,"33","35","30","30","10.1"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-13",,"0.00",,"30","34","27","27","10.2"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-14",,"0.00",,"27","32","24","27","10.2"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-15",,"0.00",,"27","31","22","26","10.2"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-16",,"0.20",,"27","29","26","26","10.5"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-17",,"0.00",,"27","31","25","26","10.5"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-18",,"0.70",,"29","32","24","31","11.2"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-19",,"1.00",,"30","32","29","30","12.1"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-20",,"1.20",,"31","32","29","29","13.3"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-21",,"0.70",,"27","31","25","25","13.8"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-22",,"0.70",,"27","29","25","26","14.5"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-23",,"0.80",,"29","33","26","33","15.0"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-24",,"1.90",,"33","35","32","32","15.8"
"USS0021B21S","MOUNT GARDNER, WA US","2002-01-25",,"1.40",,"30","33","27","27","16.7"
