06-1499,1/1/1800,Scenic Hotsprings,0,,
313531,1/1/1800,Kennedy Hot Springs (Pack Out),7,19.5,290
07-688,1/1/1800,Seattle,0,,
,2/16/64,North Bend River Search,0,,
,8/8/64,La Bohn Gap Rescue,0,,
64-0001,10/24/64,Denny Creek Evac,0,,
64-0002,11/1/64,Grass Mountain,0,,
64-0003,11/2/64,Lake Hancock Lost Hunter,0,,
64-0004,11/7/64,Redmond Missing Boys,0,,
64-0005,11/14/64,Kelso Lost Hunter,0,,
65-0013,4/24/65,Mt Rainier Airplane Crash,0,,
65-0014,5/5/65,Jones Road Missing Woman,0,,
,5/23/65,Tiger Mountain Downed Aircraft,0,,
,6/14/65,Mason Lake,0,,
65-0028,7/11/65,Redmond Mission Person,0,,
,9/13/65,Camp Omache,0,,
,8/4/66,Thompson Lake Overdue Family,0,,
66-0101,9/4/66,Mt Hinman Injured Climber,0,,
79-0166,7/11/79,Sky Lab Re-Entry,0,,
80-0009,1/11/80,Kendall Peak Recovery,0,,
80-0073,4/14/80,Rainier State School Missing Person,0,,
80-0098,5/17/80,Tooth Injured Climber,0,,
80-0103,5/23/80,Mt St Helens Eruption,0,,
80-0133,6/12/80,Mineral Missing Aircraft,0,,
80-0143,6/17/80,North Bend Missing 2yo,0,,
80-0160,6/20/80,Southcenter Evidence - HWY 518,0,,
80-0149,6/21/80,Juanita Missing 5yo,0,,
80-0166,7/11/80,North Bend Evidence,0,,
80-0190,7/18/80,Sperry Peak Area Injured Person,0,,
80-0263,8/2/80,Gem Lake Injured Hiker,0,,
80-0231,8/10/80,Marten Lake Injured Hiker,0,,
80-0239,8/16/80,Brant Peak Injured Climber,0,,
80-0248,8/21/80,PCT North Injured Hiker,0,,
08-0267,8/30/80,Cougar Creek Injured Hiker,0,,
80-0288,9/13/80,Snow Lake Injured Hikers,0,,
80-0307,9/27/80,Goldmeyer Hot Springs Injured Hiker,0,,
80-0235,9/27/80,Green River Evidence Search,0,,
80-0310,10/2/80,Lake Annette Overdue Hikers,0,,
80-0312,10/6/80,Lake Caroline Overdue Fisherman,0,,
80-0316,10/11/80,Commissary Support,0,,
80-0319,10/14/80,Carbon Ridge Overdue Hikers,0,,
80-0357,11/2/80,First Creek Missing Hunter,0,,
80-0402,11/25/80,Aberdeen Airplane,0,,
80-0434,12/12/80,Missing 75yr old man,0,,
80-0454,12/26/80,Tolt + Fall City Sandbagging,0,,
81-0020,1/15/81,Issaquah Missing Boy,0,,
81-0026,1/27/81,Mt Si (Westside) Missing Hiker,0,,
81-0042,2/17/81,Wallace Falls Missing Hikers,0,,
81-0083,4/20/81,Shelton Missing 3yo,0,,
81-0095,5/3/81,Darrington Lost Hiker,0,,
81-0105,5/22/81,Graham Missing Person,0,,
81-0172,7/13/81,Wildcat Lakes Injured Hiker,0,,
81-0181,7/20/81,Lake Phillipa Missing Hikers,0,,
81-0226,8/11/81,Twin Lakes Missing Person,0,,
