Datetime,Incident Number
5/9/19,244
5/8/19,299
5/7/19,284
5/6/19,282
5/5/19,287
5/4/19,255
5/3/19,332
5/2/19,288
5/1/19,284
4/30/19,325
4/29/19,274
4/28/19,264
4/27/19,274
4/26/19,292
4/25/19,267
4/24/19,290
4/23/19,209
4/22/19,257
4/21/19,215
4/20/19,272
4/19/19,267
4/18/19,249
4/17/19,291
4/16/19,289
4/15/19,273
4/14/19,224
4/13/19,248
4/12/19,237
4/11/19,273
4/10/19,233
4/9/19,266
4/8/19,235
4/7/19,239
4/6/19,246
4/5/19,282
4/4/19,310
4/3/19,280
4/2/19,292
4/1/19,293
3/31/19,264
3/30/19,275
3/29/19,302
3/28/19,272
3/27/19,244
3/26/19,262
3/25/19,279
3/24/19,230
3/23/19,279
3/22/19,271
3/21/19,273
3/20/19,315
3/19/19,327
3/18/19,293
3/17/19,280
3/16/19,285
3/15/19,316
3/14/19,264
3/13/19,266
3/12/19,292
3/11/19,289
3/10/19,304
3/9/19,296
3/8/19,302
3/7/19,278
3/6/19,285
3/5/19,267
3/4/19,309
3/3/19,301
3/2/19,256
3/1/19,285
2/28/19,275
2/27/19,271
2/26/19,266
2/25/19,230
2/24/19,233
2/23/19,253
2/22/19,244
2/21/19,238
2/20/19,284
2/19/19,220
2/18/19,262
2/17/19,228
2/16/19,246
2/15/19,267
2/14/19,289
2/13/19,272
2/12/19,290
2/11/19,351
2/10/19,292
2/9/19,325
2/8/19,327
2/7/19,325
2/6/19,341
2/5/19,317
2/4/19,321
2/3/19,278
2/2/19,268
2/1/19,300
1/31/19,260
1/30/19,247
1/29/19,266
1/28/19,279
1/27/19,245
1/26/19,263
1/25/19,294
1/24/19,274
1/23/19,275
1/22/19,269
1/21/19,267
1/20/19,225
1/19/19,290
1/18/19,240
1/17/19,257
1/16/19,240
1/15/19,263
1/14/19,263
1/13/19,299
1/12/19,272
1/11/19,305
1/10/19,256
1/9/19,278
1/8/19,279
1/7/19,288
1/6/19,287
1/5/19,276
1/4/19,246
1/3/19,268
1/2/19,256
1/1/19,283
12/31/18,269
12/30/18,263
12/29/18,245
12/28/18,243
12/27/18,234
12/26/18,224
12/25/18,199
12/24/18,257
12/23/18,242
12/22/18,275
12/21/18,298
12/20/18,268
12/19/18,293
12/18/18,242
12/17/18,285
12/16/18,268
12/15/18,275
12/14/18,307
12/13/18,301
12/12/18,241
12/11/18,276
12/10/18,271
12/9/18,271
12/8/18,283
12/7/18,288
12/6/18,250
12/5/18,260
12/4/18,280
12/3/18,289
12/2/18,274
12/1/18,259
11/30/18,267
11/29/18,273
11/28/18,266
11/27/18,272
11/26/18,250
11/25/18,213
11/24/18,234
11/23/18,223
11/22/18,237
11/21/18,251
11/20/18,259
11/19/18,249
11/18/18,253
11/17/18,324
11/16/18,277
11/15/18,282
11/14/18,263
11/13/18,290
11/12/18,259
11/11/18,255
11/10/18,257
11/9/18,265
11/8/18,309
11/7/18,262
11/6/18,279
11/5/18,237
11/4/18,253
11/3/18,288
11/2/18,281
11/1/18,301
10/31/18,265
10/30/18,286
10/29/18,265
10/28/18,274
10/27/18,316
10/26/18,294
10/25/18,226
10/24/18,276
10/23/18,212
10/22/18,262
10/21/18,227
10/20/18,316
10/19/18,272
10/18/18,312
10/17/18,280
10/16/18,270
10/15/18,264
10/14/18,264
10/13/18,310
10/12/18,263
10/11/18,316
10/10/18,235
10/9/18,259
10/8/18,311
10/7/18,237
10/6/18,281
10/5/18,317
10/4/18,271
10/3/18,274
10/2/18,268
10/1/18,259
9/30/18,251
9/29/18,280
9/28/18,308
9/27/18,251
9/26/18,252
9/25/18,279
9/24/18,309
9/23/18,261
9/22/18,272
9/21/18,298
9/20/18,262
9/19/18,293
9/18/18,263
9/17/18,262
9/16/18,269
9/15/18,265
9/14/18,271
9/13/18,273
9/12/18,275
9/11/18,258
9/10/18,273
9/9/18,258
9/8/18,275
9/7/18,298
9/6/18,297
9/5/18,315
9/4/18,259
9/3/18,243
9/2/18,276
9/1/18,280
8/31/18,283
8/30/18,297
8/29/18,270
8/28/18,258
8/27/18,258
8/26/18,250
8/25/18,257
8/24/18,261
8/23/18,223
8/22/18,299
8/21/18,294
8/20/18,277
8/19/18,280
8/18/18,269
8/17/18,316
8/16/18,259
8/15/18,320
8/14/18,270
8/13/18,297
8/12/18,294
8/11/18,291
8/10/18,337
8/9/18,332
8/8/18,347
8/7/18,323
8/6/18,282
8/5/18,289
8/4/18,288
8/3/18,321
8/2/18,253
8/1/18,296
7/31/18,311
7/30/18,326
7/29/18,290
7/28/18,321
7/27/18,307
7/26/18,322
7/25/18,288
7/24/18,336
7/23/18,291
7/22/18,268
7/21/18,316
7/20/18,297
7/19/18,287
7/18/18,317
7/17/18,338
7/16/18,359
7/15/18,299
7/14/18,328
7/13/18,315
7/12/18,310
7/11/18,338
7/10/18,282
7/9/18,279
7/8/18,241
7/7/18,285
7/6/18,341
7/5/18,341
7/4/18,335
7/3/18,294
7/2/18,268
7/1/18,273
6/30/18,289
6/29/18,282
6/28/18,253
6/27/18,300
6/26/18,271
6/25/18,275
6/24/18,286
6/23/18,312
6/22/18,312
6/21/18,301
6/20/18,321
6/19/18,286
6/18/18,360
6/17/18,294
6/16/18,299
6/15/18,301
6/14/18,304
6/13/18,291
6/12/18,280
6/11/18,310
6/10/18,249
6/9/18,272
6/8/18,328
6/7/18,268
6/6/18,300
6/5/18,298
6/4/18,248
6/3/18,270
6/2/18,308
6/1/18,283
5/31/18,277
5/30/18,285
5/29/18,264
5/28/18,263
5/27/18,265
5/26/18,270
5/25/18,314
5/24/18,243
5/23/18,282
5/22/18,286
5/21/18,270
5/20/18,271
5/19/18,289
5/18/18,272
5/17/18,288
5/16/18,286
5/15/18,286
5/14/18,292
5/13/18,270
5/12/18,302
5/11/18,307
5/10/18,272
5/9/18,298
5/8/18,318
5/7/18,273
