date,mission,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,STATION_x,NAME_x,DATE,AWND_x,FMTM,PGTM,PRCP_x,TAVG_x,TMAX_x,TMIN_x,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT10,STATION_y,NAME_y,AWND_y,PRCP_y,SNWD,TAVG_y,TMAX_y,TMIN_y,TOBS,WESD
2002-01-01,1,2002,1,1,1,1,1,False,True,False,True,False,True,1009843200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-01,5.14,1129.0,1125.0,0.63,45.0,54.0,36.0,0.0,130,140,17.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,32.0,34.0,30.0,33.0,11.6
2002-01-02,0,2002,1,1,2,2,2,False,False,False,False,False,False,1009929600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-02,4.7,354.0,555.0,0.06,49.0,55.0,43.0,0.0,130,130,14.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.4,0.0,33.0,35.0,30.0,30.0,11.0
2002-01-03,1,2002,1,1,3,3,3,False,False,False,False,False,False,1010016000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-03,6.93,2031.0,1416.0,0.01,47.0,55.0,39.0,0.0,170,190,14.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,33.0,36.0,30.0,34.0,11.2
2002-01-04,0,2002,1,1,4,4,4,False,False,False,False,False,False,1010102400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-04,1.12,58.0,1113.0,0.0,49.0,54.0,44.0,0.0,120,240,8.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,33.0,36.0,31.0,32.0,11.2
2002-01-05,1,2002,1,1,5,5,5,False,False,False,False,False,False,1010188800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-05,3.8,1913.0,519.0,0.26,49.0,54.0,43.0,0.0,140,210,15.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,33.0,35.0,32.0,33.0,11.5
2002-01-06,1,2002,1,1,6,6,6,False,False,False,False,False,False,1010275200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-06,7.38,1928.0,2218.0,0.78,51.0,59.0,42.0,0.0,170,180,21.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.9,0.0,35.0,42.0,31.0,42.0,12.0
2002-01-07,0,2002,1,2,7,0,7,False,False,False,False,False,False,1010361600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-07,11.18,1347.0,1345.0,1.23,59.0,63.0,55.0,0.0,170,170,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,2.6,0.0,41.0,44.0,38.0,40.0,11.3
2002-01-08,0,2002,1,2,8,1,8,False,False,False,False,False,False,1010448000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-08,9.17,842.0,914.0,0.16,52.0,55.0,49.0,0.0,180,170,17.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.9,0.0,38.0,40.0,35.0,36.0,10.4
2002-01-09,0,2002,1,2,9,2,9,False,False,False,False,False,False,1010534400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-09,1.79,29.0,1446.0,0.0,48.0,53.0,43.0,0.0,200,270,12.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,35.0,39.0,33.0,33.0,10.1
2002-01-10,0,2002,1,2,10,3,10,False,False,False,False,False,False,1010620800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-10,3.8,1037.0,545.0,0.01,46.0,50.0,41.0,0.0,160,190,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,35.0,38.0,33.0,37.0,10.0
2002-01-11,0,2002,1,2,11,4,11,False,False,False,False,False,False,1010707200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-11,2.46,2122.0,2321.0,0.07,51.0,55.0,47.0,0.0,140,260,12.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,36.0,40.0,35.0,35.0,9.9
2002-01-12,1,2002,1,2,12,5,12,False,False,False,False,False,False,1010793600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-12,10.74,633.0,452.0,0.23,48.0,54.0,41.0,0.0,170,180,21.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.0,0.0,33.0,35.0,30.0,30.0,10.1
2002-01-13,1,2002,1,2,13,6,13,False,False,False,False,False,False,1010880000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-13,2.91,2354.0,1137.0,0.0,41.0,46.0,36.0,0.0,150,220,10.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,30.0,34.0,27.0,27.0,10.2
2002-01-14,0,2002,1,3,14,0,14,False,False,False,False,False,False,1010966400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-14,3.58,1410.0,1409.0,0.05,41.0,46.0,35.0,0.0,340,330,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,27.0,32.0,24.0,27.0,10.2
2002-01-15,0,2002,1,3,15,1,15,False,False,False,False,False,False,1011052800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-15,2.91,2359.0,2110.0,0.0,41.0,44.0,37.0,0.0,140,280,8.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,27.0,31.0,22.0,26.0,10.2
2002-01-16,0,2002,1,3,16,2,16,False,False,False,False,False,False,1011139200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-16,6.71,705.0,1234.0,0.02,39.0,43.0,34.0,0.0,150,200,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,27.0,29.0,26.0,26.0,10.5
2002-01-17,1,2002,1,3,17,3,17,False,False,False,False,False,False,1011225600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-17,3.13,1733.0,1732.0,0.0,42.0,44.0,39.0,0.0,190,230,8.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,27.0,31.0,25.0,26.0,10.5
2002-01-18,0,2002,1,3,18,4,18,False,False,False,False,False,False,1011312000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-18,6.93,2200.0,1851.0,0.23,41.0,45.0,37.0,0.0,170,190,15.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.7,0.0,29.0,32.0,24.0,31.0,11.2
2002-01-19,0,2002,1,3,19,5,19,False,False,False,False,False,False,1011398400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-19,6.93,2304.0,1852.0,0.2,43.0,46.0,39.0,0.0,180,220,17.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.0,0.0,30.0,32.0,29.0,30.0,12.1
2002-01-20,1,2002,1,3,20,6,20,False,False,False,False,False,False,1011484800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-20,16.11,754.0,754.0,0.05,45.0,49.0,41.0,0.0,170,170,25.1,34.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.2,0.0,31.0,32.0,29.0,29.0,13.3
2002-01-21,0,2002,1,4,21,0,21,False,False,False,False,False,False,1011571200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-21,10.74,249.0,427.0,0.0,40.0,43.0,36.0,0.0,190,190,21.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.7,0.0,27.0,31.0,25.0,25.0,13.8
